seq,latency_ns
4401,716534
4402,706597
4403,696680
4404,688646
4405,679079
4406,669536
4407,659937
4408,650986
4409,641440
4410,631826
4411,622196
4412,612690
4413,603034
4414,593549
4415,583896
4416,574316
4417,566643
4418,557037
4419,547352
4420,537770
4421,528147
4422,518464
4423,508915
4424,500054
4425,490465
4426,480899
4427,471377
4428,461736
4429,453897
4430,444310
4431,434663
4432,428832
4433,419004
4434,409105
4435,399201
4436,389333
4437,379470
4438,369571
4439,359690
4440,349746
4441,339849
4442,330990
4443,321436
4444,311756
4445,302166
4446,292550
4447,282979
4448,273342
4449,263938
4450,254305
4451,244760
4452,235118
4453,225552
4454,215924
4455,208064
4456,199144
4457,189556
4458,180119
4459,170507
4460,161050
4461,151546
4462,141947
4463,132373
4464,122784
4465,113426
4466,103858
4467,94305
4468,86384
4469,76840
4470,67176
4471,57623
4472,48804
4473,39113
4474,29503
4475,22993
4476,13186
4477,1117282
4478,1108798
4479,1099741
4480,1090393
4481,1083986
4482,1074415
4483,1064872
4484,1055276
4485,1045751
4486,1036253
4487,1026715
4488,1017830
4489,1008253
4490,998636
4491,989086
4492,979536
4493,971834
4494,962300
4495,952659
4496,943088
4497,933671
4498,924096
4499,914481
4500,904877
4501,896597
4502,886718
4503,876791
4504,867162
4505,857689
4506,849771
4507,840230
4508,830807
4509,821272
4510,811767
4511,802246
4512,792640
4513,783368
4514,773824
4515,764183
4516,754556
4517,749475
4518,739619
4519,729747
4520,719881
4521,709975
4522,700087
4523,690203
4524,680328
4525,670427
4526,660932
4527,651202
4528,641554
4529,632146
4530,622457
4531,612792
4532,604459
4533,594878
4534,585215
4535,575595
4536,566733
4537,557041
4538,547425
4539,537757
4540,528218
4541,518742
4542,509112
4543,499466
4544,489875
4545,482955
4546,473349
4547,463839
4548,454182
4549,444508
4550,434914
4551,425403
4552,416600
4553,407092
4554,397373
4555,387884
4556,378316
4557,370484
4558,360850
4559,351365
4560,345138
4561,335260
4562,325416
4563,315517
4564,305625
4565,295737
4566,285835
4567,275924
4568,266073
4569,256204
4570,247805
4571,238131
4572,228508
4573,218826
4574,209199
4575,199640
4576,190022
4577,180520
4578,170961
4579,161376
4580,151738
4581,142338
4582,132627
4583,125144
4584,116230
4585,106596
4586,97031
4587,87458
4588,77809
4589,68306
4590,58676
4591,49012
4592,39469
4593,29954
4594,20299
4595,10892
4596,1079304
4597,1071674
4598,1064498
4599,1056596
4600,1053219
4601,1045847
4602,1037613
4603,1034998
4604,1025281
4605,1015346
4606,1006016
4607,998257
4608,990073
4609,991284
4610,983758
4611,975620
4612,967581
4613,959803
4614,951904
4615,943932
4616,940256
4617,932111
4618,924352
4619,916913
4620,909275
4621,906746
4622,899411
4623,891244
4624,883280
4625,876681
4626,868591
4627,860595
4628,852376
4629,843452
4630,834213
4631,824951
4632,816287
4633,806853
4634,799114
4635,789592
4636,779970
4637,770414
4638,760731
4639,751267
4640,741709
4641,732247
4642,722649
4643,713019
4644,703512
4645,697789
4646,687966
4647,678082
4648,668182
4649,658292
4650,648408
4651,638463
4652,628807
4653,619176
4654,609633
4655,600692
4656,590890
4657,581503
4658,571930
4659,562330
4660,554558
4661,544945
4662,535286
4663,525697
4664,517037
4665,507389
4666,497707
4667,488112
4668,478542
4669,468897
4670,459350
4671,449624
4672,440096
4673,432561
4674,423026
4675,413448
4676,403908
4677,394369
4678,384885
4679,375253
4680,366415
4681,356854
4682,347357
4683,337759
4684,328071
4685,320323
4686,310759
4687,304139
4688,294361
4689,284508
4690,274624
4691,264762
4692,254850
4693,244912
4694,235032
4695,225086
4696,215313
4697,205759
4698,197473
4699,187834
4700,178595
4701,168948
4702,159335
4703,149754
4704,140156
4705,130645
4706,122161
4707,112221
4708,102271
4709,92378
4710,82706
4711,75025
4712,66254
4713,56606
4714,46934
4715,37327
4716,27673
4717,18167
4718,8577
4719,1060677
4720,1051159
4721,1042006
4722,1032494
4723,1022901
4724,1015777
4725,1006155
4726,996459
4727,986999
4728,978153
4729,968635
4730,963384
4731,953523
4732,943626
4733,933769
4734,923885
4735,913940
4736,904050
4737,894796
4738,885174
4739,875606
4740,866024
4741,856468
4742,846887
4743,837251
4744,828206
4745,818543
4746,808950
4747,799304
4748,789709
4749,781263
4750,771695
4751,762219
4752,752519
4753,743095
4754,733534
4755,723907
4756,714235
4757,704726
4758,695100
4759,685456
4760,676526
4761,666878
4762,658413
4763,648887
4764,639264
4765,629560
4766,620017
4767,610434
4768,600850
4769,591382
4770,581851
4771,572265
4772,562700
4773,557061
4774,547209
4775,537348
4776,527453
4777,517554
4778,507929
4779,498277
4780,488559
4781,479005
4782,469371
4783,459709
4784,450170
4785,440698
4786,431124
4787,421558
4788,413394
4789,403680
4790,394035
4791,384352
4792,375319
4793,365676
4794,356219
4795,346641
4796,337007
4797,327337
4798,317958
4799,308377
4800,298679
4801,290535
4802,280989
4803,271351
4804,261739
4805,252127
4806,242545
4807,232864
4808,224332
4809,214395
4810,204447
4811,194907
4812,185301
4813,177506
4814,167931
4815,158195
4816,155188
4817,145343
4818,135453
4819,125537
4820,115667
4821,105752
4822,95810
4823,85927
4824,75997
4825,66053
4826,56139
4827,46189
4828,36244
4829,26370
4830,16633
4831,7056
4832,1203553
4833,1199547
4834,1192118
4835,1184453
4836,1176609
4837,1168773
4838,1161102
4839,1171186
4840,1163171
4841,1153731
4842,1144300
4843,1134799
4844,1125516
4845,1115843
4846,1106243
4847,1096614
4848,1087005
4849,1077667
4850,1067798
4851,1058468
4852,1050845
4853,1041321
4854,1031753
4855,1022095
4856,1013379
4857,1009179
4858,999305
4859,989478
4860,979557
4861,969630
4862,959737
4863,949794
4864,939857
4865,929973
4866,920025
4867,910075
4868,900257
4869,890407
4870,880820
4871,871139
4872,862213
4873,852611
4874,843089
4875,833504
4876,823903
4877,816049
4878,806554
4879,796840
4880,787384
4881,777935
4882,768417
4883,758820
4884,749190
4885,739619
4886,730101
4887,720508
4888,711924
4889,702403
4890,694852
4891,685314
4892,675777
4893,666083
4894,656466
4895,646893
4896,637217
4897,627821
4898,618271
4899,608648
4900,601652
4901,591859
4902,582020
4903,573128
4904,563492
4905,553875
4906,544234
4907,534737
4908,525067
4909,515357
4910,507147
4911,497222
4912,487291
4913,477395
4914,467450
4915,457550
4916,450008
4917,440306
4918,430651
4919,421056
4920,412236
4921,402495
4922,392955
4923,383229
4924,373606
4925,364013
4926,354303
4927,344622
4928,335054
4929,328617
4930,318916
4931,309571
4932,299909
4933,290264
4934,280614
4935,270985
4936,262697
4937,253110
4938,243513
4939,233955
4940,224392
4941,216698
4942,207179
4943,201674
4944,191905
4945,182017
4946,172154
4947,162285
4948,152382
4949,142487
4950,132579
4951,122639
4952,112734
4953,102798
4954,93582
4955,83945
4956,74354
4957,64651
4958,55086
4959,45432
4960,35745
4961,26505
4962,16858
4963,7237
4964,1053306
4965,1046034
4966,1038137
4967,1048431
4968,1040955
4969,1031387
4970,1021915
4971,1012260
4972,1002881
4973,993305
4974,983713
4975,974161
4976,964701
4977,955544
4978,945938
4979,936388
4980,929009
4981,919387
4982,909842
4983,900193
4984,891321
4985,888759
4986,878845
4987,868961
4988,859097
4989,849149
4990,839212
4991,829307
4992,819369
4993,809433
4994,799529
4995,789586
4996,779648
4997,769752
4998,759850
4999,749938
5000,740709
5001,731102
5002,721415
5003,711820
5004,702195
5005,693928
5006,684329
5007,674688
5008,665087
5009,655674
5010,646060
5011,636466
5012,628419
5013,618474
5014,608537
5015,598601
5016,589275
5017,579648
5018,572049
5019,562435
5020,552915
5021,543334
5022,533808
5023,524243
5024,514674
5025,505167
5026,495449
5027,485848
5028,482746
5029,472885
5030,463019
5031,453083
5032,443190
5033,433316
5034,423467
5035,413532
5036,403620
5037,393690
5038,383740
5039,373859
5040,363925
5041,353974
5042,344134
5043,334484
5044,326110
5045,316478
5046,306909
5047,297181
5048,288344
5049,278674
5050,269003
5051,259492
5052,249777
5053,240139
5054,230490
5055,220912
5056,211442
5057,203939
5058,194254
5059,184863
5060,175248
5061,165613
5062,156046
5063,146429
5064,137474
5065,127788
5066,118244
5067,109038
5068,99450
5069,91710
5070,82161
5071,75641
5072,65853
5073,56075
5074,46210
5075,36330
5076,26428
5077,16477
5078,6571
5079,1061883
5080,1053880
5081,1044475
5082,1040210
5083,1030634
5084,1021118
5085,1011488
5086,1001827
5087,992362
5088,982790
5089,973408
5090,963995
5091,954470
5092,944873
5093,935314
5094,925691
5095,918175
5096,909420
5097,899773
5098,890199
5099,880676
5100,871054
5101,861475
5102,852281
5103,842650
5104,832999
5105,823833
5106,814304
5107,804706
5108,797290
5109,787759
5110,778527
5111,768988
5112,760242
5113,750696
5114,748692
5115,740501
5116,730563
5117,720686
5118,710743
5119,700861
5120,691017
5121,681064
5122,671152
5123,661252
5124,651318
5125,641378
5126,631502
5127,621546
5128,611611
5129,601709
5130,591776
5131,582368
5132,572812
5133,564673
5134,555109
5135,545618
5136,536095
5137,526599
5138,517015
5139,507501
5140,497831
5141,488277
5142,478626
5143,469007
5144,460115
5145,450598
5146,442983
5147,433390
5148,423880
5149,414303
5150,404634
5151,395084
5152,385494
5153,376039
5154,366390
5155,356727
5156,351569
5157,341742
5158,331853
5159,321978
5160,312083
5161,302141
5162,292268
5163,282353
5164,272678
5165,263131
5166,253621
5167,244001
5168,234531
5169,225025
5170,215303
5171,205789
5172,197954
5173,188428
5174,178843
5175,169214
5176,160185
5177,150642
5178,141081
5179,131705
5180,122176
5181,112614
5182,103543
5183,94028
5184,84406
5185,77233
5186,67656
5187,58104
5188,48413
5189,38848
5190,29389
5191,19715
5192,11029
5193,1060571
5194,1051084
5195,1041584
5196,1031954
5197,1027648
5198,1018150
5199,1012964
5200,1003077
5201,993201
5202,983261
5203,973323
5204,963468
5205,953526
5206,943638
5207,933743
5208,923848
5209,914281
5210,906231
5211,896609
5212,887069
5213,877465
5214,867841
5215,858264
5216,848758
5217,839337
5218,831663
5219,821776
5220,811826
5221,801882
5222,791998
5223,783357
5224,774462
5225,764897
5226,755322
5227,745577
5228,736188
5229,726608
5230,716957
5231,707398
5232,697974
5233,688528
5234,678958
5235,669295
5236,661474
5237,651949
5238,642365
5239,632711
5240,623897
5241,614457
5242,607854
5243,598038
5244,588149
5245,578206
5246,568317
5247,558409
5248,548466
5249,539439
5250,529760
5251,503067
5252,502685
5253,500593
5254,490941
5255,481347
5256,472342
5257,462740
5258,453114
5259,443529
5260,433810
5261,426083
5262,416490
5263,406888
5264,397424
5265,387890
5266,378309
5267,368720
5268,359029
5269,349527
5270,339925
5271,330300
5272,321405
5273,311731
5274,304030
5275,294474
5276,284919
5277,275349
5278,265749
5279,256502
5280,246886
5281,237491
5282,227822
5283,218218
5284,208518
5285,206203
5286,196292
5287,186427
5288,176555
5289,166618
5290,156704
5291,146816
5292,136871
5293,126939
5294,117032
5295,107115
5296,97176
5297,87300
5298,77370
5299,67419
5300,58583
5301,48879
5302,39250
5303,29749
5304,20742
5305,11176
5306,1194355
5307,1187820
5308,1180579
5309,1173925
5310,1166360
5311,1159019
5312,1152292
5313,1177604
5314,1168345
5315,1159090
5316,1149613
5317,1140101
5318,1130531
5319,1121059
5320,1113073
5321,1103199
5322,1093532
5323,1083994
5324,1074365
5325,1067016
5326,1062738
5327,1052867
5328,1042963
5329,1033021
5330,1023126
5331,1013188
5332,1003259
5333,993424
5334,983494
5335,973566
5336,963652
5337,953712
5338,945155
5339,935634
5340,926066
5341,916476
5342,906948
5343,897371
5344,887742
5345,878338
5346,868723
5347,859099
5348,849658
5349,840112
5350,825789
5351,823312
5352,814466
5353,804878
5354,795344
5355,785671
5356,775299
5357,766678
5358,757110
