seq,latency_ns
4851,432383
4852,422995
4853,413454
4854,402458
4855,395979
4856,387125
4857,377461
4858,367851
4859,358299
4860,348662
4861,339165
4862,329553
4863,320018
4864,310322
4865,300958
4867,276720
4868,273691
4869,264169
4870,254549
4871,245012
4872,236107
4873,226567
4874,216975
4875,207431
4876,197911
4877,188403
4878,178738
4879,169055
4880,159482
4881,144043
4882,142481
4883,132872
4884,123297
4885,113803
4886,104209
4887,94769
4888,87246
4889,77374
4890,67435
4891,57531
4892,47599
4893,37944
4894,30178
4895,20656
4896,11159
4897,1053963
4898,1044493
4899,1034917
4900,1025367
4901,1015825
4902,1006131
4903,996510
4904,987656
4905,978161
4906,968459
4908,950841
4909,941302
4910,931830
4911,922120
4912,912521
4913,903061
4914,893559
4915,883890
4916,874341
4917,864719
4918,855194
4919,845703
4920,838552
4921,829085
4922,819469
4923,810013
4924,800517
4925,791006
4926,781290
4927,771879
4928,762356
4929,752953
4930,743341
4931,733887
4932,724331
4933,716628
4934,707069
4935,697609
4936,688728
4937,679224
4938,669643
4939,660204
4940,650713
4941,641274
4942,631559
4943,622045
4944,612504
4945,603155
4946,595437
4947,585806
4948,576188
4949,566587
4950,557021
4951,547449
4952,538629
4953,529044
4954,519513
4955,509941
4956,500400
4957,490824
4958,481276
4959,473600
4960,464050
4961,454672
4962,445049
4963,435540
4964,425975
4965,416385
4966,406689
4967,397132
4968,388164
4969,378483
4970,368832
4971,359141
4972,351323
4973,341676
4974,331984
4975,322415
4976,312801
4977,303371
4978,293759
4979,284191
4980,274845
4981,265293
4982,255759
4983,246077
4984,239158
4985,229636
4986,220014
4987,210409
4988,200923
4989,191404
4990,181764
4991,173697
4992,163800
4993,153867
4994,143917
4995,133976
4996,124217
4997,116615
4998,107021
4999,97425
5000,88471
5001,79190
5002,69581
5003,59970
5004,50364
5005,40732
5006,31238
5007,21677
5008,12197
5009,2741
5010,1046810
5011,1037323
5012,1027741
5013,1018185
5014,1008585
5015,998952
5016,990070
5017,980507
5018,970924
5019,961362
5020,951711
