seq,latency_ns
3880,25747
3881,19368
3882,9535
3883,1054763
3884,1045380
3885,1035909
3886,1031037
3887,1021229
3888,1011333
3889,1001443
3890,991574
3891,981693
3892,974249
3893,964966
3894,955637
3895,946013
3896,937798
3897,928387
3898,918765
3899,909464
3900,899969
3901,890426
3902,880985
3903,871470
3904,861997
3905,854576
3906,845112
3907,835568
3908,826201
3909,816728
3910,807255
3911,797898
3912,789095
3913,779754
3914,770476
3915,760945
3916,751576
3917,743978
3918,734602
3919,725213
3920,715904
3921,706616
3922,720545
3923,710734
3924,700835
3925,690908
3926,681081
3927,671143
3928,661209
3929,651335
3930,641390
3931,631439
3932,621549
3933,611604
3934,601662
3935,591714
3936,581790
3937,571839
3938,561972
3939,552028
3940,542084
3941,532178
3942,522273
3943,512339
3944,502430
3945,492487
3946,482594
3947,472689
3948,462750
3949,452838
3950,442655
3951,432978
3952,423061
3953,413168
3954,403220
3955,393269
3956,383331
3957,1558879
3958,1549792
3959,1540378
3960,1531544
3961,1522020
3962,1512534
3963,1502870
3964,1500228
3965,1490402
3966,1480512
3967,1470616
3968,1460734
3969,1450788
3970,1440869
3971,1431007
3972,1421060
3973,1411126
3974,1401454
3975,1391834
3976,1382884
3977,1373396
3978,1363837
3979,1354351
3980,1344698
3981,1336986
3982,1327383
3983,1317803
3984,1308190
3985,1298797
3986,1289211
3987,1279932
3988,1270395
3989,1263078
3990,1253145
3991,1243199
3992,1233307
3993,1223350
3994,1214365
3995,1204595
3996,1194652
3997,1184709
3998,1174969
3999,1165288
4000,1155752
4001,1146258
4002,1136660
4003,1130682
4004,1120855
4005,1110954
4006,1101055
4007,1091164
4008,1081507
4009,1071881
4010,1062293
4011,1052703
4012,1043059
4013,1033495
4014,1023826
4015,1014121
4016,1004610
4017,995201
4018,985559
4019,976106
4020,968404
4021,959070
4022,949600
4023,939947
4024,931122
4025,921538
4026,911937
4027,902307
4028,892716
4029,883058
4030,873438
4031,863831
4032,854213
4033,846519
4034,836961
4035,827327
4036,817761
4037,808216
4038,798632
4039,788998
4040,780113
4041,770641
4042,761040
4043,751463
4044,741757
4045,735381
4046,725522
4047,715632
4048,705725
4049,695847
4050,686062
4051,676484
4052,666919
4053,657379
4054,647775
4055,638265
4056,629822
4057,620325
4058,612671
4059,603322
4060,594031
4061,584825
4062,575258
4063,565818
4064,556663
4065,547166
4066,538171
4067,528806
4068,519216
4069,509930
4070,500438
4071,493748
4072,485655
4073,476212
4074,466977
4075,457832
4076,448449
4077,438930
4078,429481
4079,420111
4080,410516
4081,401332
4082,391954
4083,382393
4084,375161
4085,366000
4086,356558
4087,350450
4088,340673
4089,330807
4090,320896
4091,313322
4092,303407
4093,293486
4094,283597
4095,273653
4096,263700
4097,255660
4098,280267
4099,270905
4100,261443
4101,251968
4102,242507
4103,233067
4104,224608
4105,215111
4106,205924
4107,196768
4108,187263
4109,179902
4110,170756
4111,161393
4112,151999
4113,142704
4114,132796
4115,123314
4116,113448
4117,103547
4118,93682
4119,83795
4120,74619
4121,64841
4122,56579
4123,46691
4124,36835
4125,27187
4126,17599
4127,8210
4128,1051531
4129,1042203
4130,1032716
4131,1027093
4132,1017216
4133,1007356
4134,997419
4135,987473
4136,978330
4137,968864
4138,959351
4139,949865
4140,940266
4141,930716
4142,921139
4143,911608
4144,901966
4145,892665
4146,883120
4147,873463
4148,865754
4149,856111
4150,846486
4151,837060
4152,828063
4153,818557
4154,809003
4155,799447
4156,789760
4157,780253
4158,770718
4159,761109
4160,751579
4161,743915
4162,734247
4163,724709
4164,715094
4165,705463
4166,695783
4167,686239
4168,678035
4169,668662
4170,659111
4171,649511
4172,640022
4173,634192
4174,624352
4175,614497
4176,604590
4177,594696
4178,584831
4179,574933
4180,565133
4181,555543
4182,545920
4183,536209
4184,527428
4185,517806
4186,510112
4187,500517
4188,490965
4189,481391
4190,471768
4191,462188
4192,452563
4193,445520
4194,435606
4195,425658
4196,415705
4197,405751
4198,395801
4199,387043
4200,378259
4201,368670
4202,359099
4203,349462
4204,339892
4205,330355
4206,320770
4207,311126
4208,301627
4209,292090
4210,282566
4211,273068
4212,265089
4213,255499
4214,245899
4215,236273
4216,230320
4217,220538
4218,210638
4219,200721
4220,190838
4221,180930
4222,171057
4223,161167
4224,151245
4225,143306
4226,133866
4227,124549
4228,115160
4229,105871
4230,96409
4231,87068
4232,78845
4233,69543
4234,60094
4235,50582
4236,41277
4237,33776
4238,24396
4239,14907
4240,5311
4241,1048440
4242,1038654
4243,1028750
4244,1019293
4245,1009837
4246,1000342
4247,991313
4248,982296
4249,972752
4250,965212
4251,955862
4252,946539
4253,937006
4254,927343
4255,917721
4256,908186
4257,898647
4258,889120
4259,884255
4260,874315
4261,864527
4262,854649
4263,844768
4264,835088
4265,825483
4266,815863
4267,806287
4268,796660
4269,786957
4270,777354
4271,767801
4272,758199
4273,748738
4274,739296
4275,729740
4276,722104
4277,712702
4278,703016
4279,693492
4280,684766
4281,675187
4282,665483
4283,656015
4284,646412
4285,636885
4286,627277
4287,617647
4288,607959
4289,600295
4290,590655
4291,581066
4292,571553
4293,561926
4294,552227
4295,544931
4296,535066
4297,525158
4298,515269
4299,505329
4300,495372
4301,487164
4302,482259
4303,472360
4304,462510
4305,452627
4306,442680
4307,432786
4308,422841
4309,412909
4310,402991
4311,393050
4312,383954
4313,374327
4314,366743
4315,357162
4316,347560
4317,337843
4318,328254
4319,318584
4320,308983
4321,299585
4322,289888
4323,280257
4324,270626
4325,260960
4326,251325
4327,243485
4328,234518
4329,224895
4330,215199
4331,205605
4332,195959
4333,186331
4334,176646
4335,166979
4336,157327
4337,147881
4338,138188
4339,128559
4340,120950
4341,111219
4342,101575
4343,91981
4344,86074
4345,76225
4346,66379
4347,56478
4348,46555
4349,36667
4350,26755
4351,16811
4352,6898
4353,1050388
4354,1041123
4355,1031776
4356,1022190
4357,1012645
4358,1003160
4359,993593
4360,984718
4361,975099
4362,965379
4363,955782
4364,946236
4365,938494
4366,928856
4367,919337
4368,909671
4369,900182
4370,890704
4371,881058
4372,871446
4373,861979
4374,852378
4375,842746
4376,833928
4377,824316
4378,816408
4379,806766
4380,797108
4381,787642
4382,778107
4383,768486
4384,758924
4385,749566
4386,739906
4387,734804
4388,724993
4389,715141
4390,705239
4391,696763
4392,686869
4393,676985
4394,667092
4395,657209
4396,647267
4397,637320
4398,629607
4399,619699
4400,609811
4401,599868
4402,589928
4403,580003
4404,570482
4405,560865
4406,551298
4407,541596
4408,532598
4409,523049
4410,513386
4411,503767
4412,494166
4413,484528
4414,474948
4415,465250
4416,455552
4417,447966
4418,438358
4419,428755
4420,419019
4421,409549
4422,399792
4423,390210
4424,381278
4425,371588
4426,361981
4427,352383
4428,342795
4429,335018
4430,329081
4431,319252
4432,309385
4433,299645
4434,289743
4435,279824
4436,269971
4437,260056
4438,250098
4439,240205
4440,230251
4441,220306
4442,212191
4443,202556
4444,192888
4445,183280
4446,173714
4447,164120
4448,154463
4449,144993
4450,135447
4451,125809
4452,116129
4453,106463
4454,96806
4455,89796
4456,80968
4457,71381
4458,61831
4459,52175
4460,42624
4461,32995
4462,23325
4463,13832
4464,4254
4465,1047356
4466,1037924
4467,1028344
4468,1020871
4469,1011552
4470,1002104
4471,992640
4472,984264
4473,980148
4474,970225
4475,960362
4476,950466
4477,940544
4478,930683
4479,920774
4480,910829
4481,900923
4482,891017
4483,881090
4484,871240
4485,861585
4486,851904
4487,842370
4488,833649
4489,824010
4490,814340
4491,804669
4492,795101
4493,787262
4494,777644
4495,768029
4496,758413
4497,748994
4498,739346
4499,729769
4500,720200
4501,712464
4502,702580
4503,692630
4504,682673
4505,673003
4506,665117
4507,655543
4508,645917
4509,636343
4510,626688
4511,617129
4512,607382
4513,597976
4514,588365
4515,578712
4516,572601
4517,562754
4518,552858
4519,542980
4520,533122
4521,523253
4522,513596
4523,503925
4524,494325
4525,484681
4526,475082
4527,465444
4528,455920
4529,446565
4530,436937
4531,427364
4532,419491
4533,409781
4534,400151
4535,390469
4536,381524
4537,371836
4538,362153
4539,352568
4540,343028
4541,333363
4542,323706
4543,314088
4544,304487
4545,296721
4546,287045
4547,277378
4548,267673
4549,258012
4550,248411
4551,238787
4552,229839
4553,220303
4554,210572
4555,200995
4556,191307
4557,183590
4558,173961
4559,167909
4560,158073
4561,148236
4562,138361
4563,128495
4564,118554
4565,108645
4566,98736
4567,88799
4568,78895
4569,68959
4570,60791
4571,51227
4572,41591
4573,31925
4574,22271
4575,12869
4576,3319
4577,1047002
4578,1037704
4579,1028191
4580,1018941
4581,1009383
4582,999929
4583,992728
4584,984268
4585,974815
4586,965339
4587,955895
4588,946297
4589,936851
4590,927306
4591,917860
4592,908309
4593,898992
4594,889602
4595,880179
4596,872248
4597,862611
4598,852996
4599,843441
4600,834367
4601,824711
4602,824100
4603,816106
4604,806167
4605,796156
4606,786294
4607,776404
4608,766462
4609,756541
4610,746674
4611,736741
4612,726827
4613,716824
4614,706975
4615,697030
4616,687086
4617,677136
4618,667194
4619,657294
4620,647360
4621,637408
4622,627505
4623,617955
4624,608255
4625,598858
4626,589247
4627,579632
4628,570005
4629,560404
4630,550786
4631,541231
4632,532197
4633,522575
