seq,latency_ns
4475,858272
4476,848627
4477,839096
4478,829646
4479,819944
4480,810470
4481,801228
4482,793523
4483,785075
4484,775512
4485,765831
4486,756383
4487,746969
4488,737338
4489,729510
4490,719684
4491,709768
4492,699828
4493,689875
4494,680100
4495,672343
4496,662841
4497,653461
4498,644100
4499,635379
4500,625856
4501,616185
4502,606675
4503,597173
4504,587643
4505,578221
4506,568686
4507,559064
4508,551419
4509,541844
4510,532179
4511,522610
4512,512967
4513,503603
4514,494068
4515,485193
4516,475619
4517,465961
4518,456325
4519,446900
4520,439207
4521,429679
4522,420024
4523,410431
4524,400820
4525,391335
4526,381697
4527,372077
4528,362450
4529,353058
4530,343409
4531,334497
4532,324903
4533,317162
4534,307561
4535,298011
4536,288333
4537,278691
4538,269245
4539,259501
4540,249870
4541,240371
4542,230787
4543,221228
4544,211690
4545,202187
4546,194341
4547,185541
4548,175978
4549,166420
4550,156998
4551,147385
4552,137778
4553,128183
4554,118566
4555,108961
4556,99453
4557,89864
4558,80516
4559,72861
4560,63246
4561,53833
4562,44297
4563,35348
4564,25632
4565,16273
4566,6663
4567,1050109
4568,1040562
4569,1030932
4570,1021363
4571,1011906
4572,1004412
4573,994756
4574,985208
4575,975597
4576,966007
4577,956902
4578,947300
4579,938377
4580,928900
4581,919255
4582,909727
4583,900178
4584,893246
4585,883821
4586,874231
4587,864810
4588,855404
4589,845813
4590,836095
4591,826650
4592,818226
4593,808350
4594,798479
4595,789495
4596,779995
4597,772494
4598,762992
4599,753404
4600,743861
4601,734362
4602,724774
4603,715398
4604,705904
4605,696278
4606,686751
4607,677221
4608,667614
4609,658447
4610,651288
4611,642569
4612,633108
4613,623566
4614,614095
4615,604605
4616,595233
4617,585771
4618,576404
4619,566982
4620,557616
4621,548164
4622,538570
4623,530968
4624,521319
4625,512166
4626,502593
4627,493707
4628,484406
4629,474975
4630,465495
4631,455963
4632,446386
4633,436958
4634,427365
4635,417775
4636,410419
4637,400883
4638,391199
4639,381570
4640,371979
4641,362736
4642,413428
4643,403551
4644,393631
4645,383742
4646,373963
4647,364060
4648,354189
4649,344390
4650,334502
4651,324613
4652,314697
4653,304764
4654,294813
4655,284917
4656,274977
4657,265031
4658,255154
4659,245207
4660,235260
4661,225372
4662,215566
4663,205677
4664,195840
4665,185952
4666,176069
4667,166242
4668,156302
4669,146353
4670,136445
4671,126504
4672,116600
4673,106757
4674,96861
4675,87013
4676,77151
4677,67204
4678,57259
4679,47389
4680,1052702
4681,1043278
4682,1033763
4683,1024187
4684,1014698
4685,1005037
4686,995491
4687,988978
4688,979673
4689,970491
4690,960905
4691,952088
4692,942452
4693,932894
4694,924463
4695,914510
4696,904561
4697,894610
4698,884688
4699,875021
4700,867362
4701,857715
4702,848098
4703,838511
4704,828912
4705,819545
4706,809973
4707,801025
4708,791457
4709,781994
4710,772451
4711,762861
4712,755046
4713,745547
4714,735888
4715,726335
4716,716664
4717,707074
4718,697510
4719,687927
4720,678253
4721,668806
4722,659191
4723,650444
4724,640842
4725,633022
4726,623417
4727,613786
4728,604219
4729,594613
4730,585086
4731,575407
4732,565735
4733,556117
4734,546563
4735,537144
4736,527551
4737,518125
4738,510308
4739,501474
4740,491891
4741,482203
4742,472648
4743,463022
4744,453369
4745,443808
4746,434137
4747,424474
4748,414832
4749,405249
4750,395663
4751,388072
4752,378474
4753,369028
4754,359501
4755,308137
4756,308113
4757,308167
4758,308186
4759,308216
4760,301154
4761,291424
4762,281735
4763,272091
4764,264221
4765,254693
4766,245096
4767,235504
4768,225894
4769,216485
4770,206885
4771,198148
4772,188641
4773,179054
4774,169542
4775,159968
4776,152767
4777,143334
4778,133773
4779,124183
4780,114621
4781,105031
4782,95359
4783,85711
4784,76120
4785,67099
4786,57372
4787,48447
4788,38819
4789,31106
4790,21670
4791,12157
4792,2571
4793,1045850
4794,1036281
4795,1026835
4796,1018758
4797,1008878
4798,998955
4799,989071
4800,979141
4801,969613
4802,961897
4803,952903
4804,943287
4805,933699
4806,924038
4807,914379
4808,904796
4809,895152
4810,885560
4811,875950
4812,866294
4813,856635
4814,847030
4815,838775
4816,829188
4817,819772
