seq,latency_ns
11784,1274252
11785,1270321
11786,1266367
11787,1262419
11788,1258470
11789,1254523
11790,1250582
11791,1246641
11792,1242689
11793,1238748
11794,1234796
11795,1230856
11796,1226900
11797,1222974
11798,1219011
11799,1215070
11800,1211123
11801,1207174
11802,1203224
11803,1199280
11804,1195330
11805,1191387
11806,1187444
11807,1183494
11808,1179560
11809,1175612
11810,1171674
11811,1167725
11812,1163782
11813,1159830
11814,1155889
11815,1151951
11816,1147998
11817,1144052
11818,1140122
11819,1136172
11820,1132238
11821,1128289
11822,1124361
11823,1120413
11824,1116472
11825,1112521
11826,1108580
11827,1104655
11828,1100707
11829,1096762
11830,1092832
11831,1088885
11832,1084930
11833,1080987
11834,1077037
11835,1073101
11836,1069152
11837,1066414
11838,1062478
11839,1058531
11840,1054581
11841,1050641
11842,1046697
11843,1042743
11844,1040103
11845,1036164
11846,1032211
11847,1028263
11848,1024317
11849,1020382
11850,1016445
11851,1012503
11852,1008554
11853,1004615
11854,1000672
11855,996728
11856,992787
11857,988855
11858,984892
11859,980953
11860,977013
11861,973064
11862,969209
11863,965268
11864,961316
11865,957375
11866,953447
11867,949487
11868,945549
11869,941598
11870,937654
11871,933709
11872,929782
11873,925817
11874,921873
11875,917935
11876,913986
11877,910048
11878,906101
11879,902160
11880,898221
11881,894294
11882,890341
11883,886392
11884,882450
11885,878515
11886,874554
11887,870627
11888,866664
11889,862727
11890,858793
11891,854847
11892,850896
11893,846958
11894,842997
11895,839064
11896,835129
11897,831170
11898,827233
11899,823279
11900,819332
11901,815380
11902,811451
11903,807489
11904,803552
11905,799617
11906,794667
11907,791728
11908,787779
11909,783830
11910,779887
11911,775940
11912,772000
11913,768051
11914,764105
11915,760157
11916,823421
11917,819507
11918,815585
11919,811672
11920,807737
11921,803798
11922,799846
11923,795909
11924,792043
11925,788111
11926,784165
11927,780251
11928,776313
11929,772365
11930,768422
11931,764468
11932,760556
11933,756683
11934,752744
11935,748805
11936,744854
11937,740897
11938,736957
11939,733008
11940,729069
11941,725126
11942,721180
11943,717222
11944,713276
11945,709331
11946,705379
11947,702809
11948,698851
11949,694910
11950,690970
11951,687020
11952,683068
11953,679128
11954,675179
11955,671239
11956,667295
11957,663344
11958,659395
11959,655455
11960,651510
11961,647557
11962,643623
11963,639662
11964,635725
11965,631788
11966,627836
11967,623885
11968,619947
11969,615997
12014,391405
12015,391337
12016,391324
12017,391313
12018,391294
12019,391278
12020,391258
